reference,datestring,year,month,datenumber,Calbayog_NorthSamar,Cambatutay_Tarangnan_NorthSamar,IrongIrong_Catbalogan_NorthSamar,Maqueda_NorthSamar,Villareal_NorthSamar,DaramIsland_SamarSea_WestSamar,BiliranIsland,CarigaraBay_Leyte,CoastalLeyte_LeyteGulf_Leyte,Calubian_Leyte,SanPedroBay_SouthSamar
SB200724,16-Oct-07,2007,10,733331,0,0,0,0,0,0,0,0,0,0,0
SB200725,19-Oct-07,2007,10,733334,0,0,1,0,0,0,0,0,0,0,0
SB200726,22-Oct-07,2007,10,733337,0,0,2,0,0,0,0,1,0,0,0
SB200727,05-Nov-07,2007,11,733351,0,0,2,0,0,0,0,2,0,0,0
SB200728,19-Nov-07,2007,11,733365,0,0,2,0,0,0,0,2,0,0,0
SB200729,04-Dec-07,2007,12,733380,0,0,2,0,0,0,0,2,0,0,0
SB200730,18-Dec-07,2007,12,733394,0,0,2,0,0,0,0,2,0,0,0
SB200801,02-Jan-08,2008,1,733409,0,0,2,0,0,0,0,2,0,0,0
SB200802,16-Jan-08,2008,1,733423,0,0,2,0,0,0,0,0,0,0,0
SB200803,29-Jan-08,2008,1,733436,0,0,2,0,0,0,0,0,0,0,0
SB200804,13-Feb-08,2008,2,733451,0,0,2,0,0,0,0,0,0,0,0
SB200805,22-Feb-08,2008,2,733460,0,0,2,0,0,0,0,0,0,0,0
SB200806,05-Mar-08,2008,3,733472,0,0,2,0,0,0,0,0,0,0,0
SB200807,07-Mar-08,2008,3,733474,0,0,2,0,0,0,0,0,0,0,0
SB200808,20-Mar-08,2008,3,733487,0,0,2,0,0,0,0,0,0,0,0
SB200809,02-Apr-08,2008,4,733500,0,0,0,0,0,0,0,0,0,0,0
SB200810,11-Apr-08,2008,4,733509,0,0,0,0,0,0,0,0,0,0,0
SB200811,25-Apr-08,2008,4,733523,0,0,0,0,0,0,0,0,0,0,0
SB200812,09-May-08,2008,5,733537,0,0,0,0,0,0,0,0,0,0,0
SB200813,15-May-08,2008,5,733543,0,0,0,0,0,0,0,0,0,0,0
SB200814,16-May-08,2008,5,733544,0,0,0,0,0,0,0,0,0,0,0
SB200815,30-May-08,2008,5,733558,0,0,0,0,0,0,0,0,0,0,0
SB200816,16-Jun-08,2008,6,733575,0,0,0,0,0,0,0,0,0,0,0
SB200817,23-Jun-08,2008,6,733582,0,0,0,0,0,0,0,0,0,0,0
SB200818,10-Jul-08,2008,7,733599,0,0,0,0,0,0,0,0,0,0,0
SB200819,25-Jul-08,2008,7,733614,0,0,0,0,0,0,0,0,0,0,0
SB200820,07-Aug-08,2008,8,733627,0,0,0,0,0,0,0,0,0,0,0
SB200821,21-Aug-08,2008,8,733641,0,0,0,0,0,0,0,0,0,0,0
SB200822,04-Sep-08,2008,9,733655,0,0,0,0,0,0,0,0,0,0,0
SB200823,12-Sep-08,2008,9,733663,0,0,0,0,0,0,0,0,0,0,0
SB200824,25-Sep-08,2008,9,733676,0,0,0,0,0,0,0,0,0,0,0
SB200825,09-Oct-08,2008,10,733690,0,0,0,0,0,0,0,0,0,0,0
SB200826,23-Oct-08,2008,10,733704,0,0,0,0,0,0,0,0,0,0,0
SB200827,06-Nov-08,2008,11,733718,0,0,0,0,0,0,0,0,0,0,0
SB200828,19-Nov-08,2008,11,733731,0,0,0,0,0,0,0,0,0,0,0
SB200829,03-Dec-08,2008,12,733745,0,0,0,0,0,0,0,0,0,0,0
SB200830,18-Dec-08,2008,12,733760,0,0,0,0,0,0,0,0,0,0,0
SB200901,02-Jan-09,2009,1,733775,0,0,0,0,0,0,0,0,0,0,0
SB200902,20-Jan-09,2009,1,733793,0,0,0,0,0,0,0,0,0,0,0
SB200903,02-Feb-09,2009,2,733806,0,0,0,0,0,0,0,0,0,0,0
SB200904,17-Feb-09,2009,2,733821,0,0,0,0,0,0,0,0,0,0,0
SB200905,03-Mar-09,2009,3,733835,0,0,0,0,0,0,0,0,0,0,0
SB200906,17-Mar-09,2009,3,733849,0,0,0,0,0,0,0,0,0,0,0
SB200907,01-Apr-09,2009,4,733864,0,0,0,0,0,0,0,0,0,0,0
SB200908,15-Apr-09,2009,4,733878,0,0,0,0,0,0,0,0,0,0,0
SB200909,30-Apr-09,2009,4,733893,0,0,0,0,0,0,0,0,0,0,0
SB200910,15-May-09,2009,5,733908,0,0,0,0,0,0,0,0,0,0,0
SB200911,27-May-09,2009,5,733920,0,0,0,0,0,0,0,0,0,0,0
SB200912,10-Jun-09,2009,6,733934,0,0,0,0,0,0,0,0,0,0,0
SB200913,26-Jun-09,2009,6,733950,0,0,0,0,0,0,0,0,0,0,0
SB200914,01-Jul-09,2009,7,733955,0,0,0,0,0,0,0,0,0,0,0
SB200915,15-Jul-09,2009,7,733969,0,0,0,0,0,0,0,0,0,0,0
SB200916,23-Jul-09,2009,7,733977,0,0,0,0,0,0,0,0,0,0,0
SB200917,31-Jul-09,2009,7,733985,0,0,0,0,0,0,0,0,0,0,0
SB200918,14-Aug-09,2009,8,733999,0,0,0,0,0,0,0,0,0,0,0
SB200919,01-Sep-09,2009,9,734017,0,0,0,0,0,0,0,0,0,0,0
SB200920,15-Sep-09,2009,9,734031,0,0,0,0,0,0,0,0,0,0,0
SB200920a,16-Sep-09,2009,9,734032,0,0,0,0,0,0,0,0,0,0,0
SB200921,30-Sep-09,2009,9,734046,0,0,0,0,0,0,0,0,0,0,0
SB200922,03-Oct-09,2009,10,734049,0,0,0,0,0,0,0,0,0,0,0
SB200923,16-Oct-09,2009,10,734062,0,0,0,0,0,0,0,0,0,0,0
SB200924,30-Oct-09,2009,10,734076,0,0,0,0,0,0,0,0,0,0,0
SB200925,13-Nov-09,2009,11,734090,0,0,0,0,0,0,0,0,0,0,0
SB200926,27-Nov-09,2009,11,734104,0,0,0,0,0,0,0,0,0,0,0
SB200927,11-Dec-09,2009,12,734118,0,0,0,0,0,0,0,0,0,0,0
SB200928,23-Dec-09,2009,12,734130,0,0,0,0,0,0,0,0,0,0,0
SB201001,05-Jan-10,2010,1,734143,0,0,0,0,0,0,0,0,0,0,0
SB201002,10-Jan-10,2010,1,734148,0,0,0,0,0,0,0,0,0,0,0
SB201003,05-Feb-10,2010,2,734174,0,0,0,0,0,0,0,0,0,0,0
SB201004,16-Feb-10,2010,2,734185,0,0,0,0,0,0,0,0,0,0,0
SB201005,02-Mar-10,2010,3,734199,0,0,0,0,0,0,0,0,0,0,0
SB201006,17-Mar-10,2010,3,734214,0,0,0,0,0,0,0,0,0,0,0
SB201007,30-Mar-10,2010,3,734227,0,0,0,0,0,0,0,0,0,0,0
SB201008,15-Apr-10,2010,4,734243,0,0,0,0,0,0,0,0,0,0,0
SB201009,21-Apr-10,2010,4,734249,0,0,0,0,0,0,0,0,0,0,0
SB201010,07-May-10,2010,5,734265,0,0,0,0,0,0,0,0,0,0,0
SB201011,13-May-10,2010,5,734271,0,0,0,0,0,0,0,0,0,0,0
SB201012,27-May-10,2010,5,734285,0,0,0,0,0,0,0,0,0,0,0
SB201013,10-Jun-10,2010,6,734299,0,0,0,0,0,0,0,0,0,0,0
SB201014,25-Jun-10,2010,6,734314,0,0,0,0,0,0,0,0,0,0,0
SB201015,08-Jul-10,2010,7,734327,0,0,0,0,0,0,0,0,0,0,0
SB201016,22-Jul-10,2010,7,734341,0,0,0,0,0,0,0,0,0,0,0
SB201017,26-Jul-10,2010,7,734345,0,0,0,0,0,0,0,0,0,0,0
SB201018,11-Aug-10,2010,8,734361,0,0,0,0,0,0,0,0,0,0,0
SB201019,17-Aug-10,2010,8,734367,0,0,0,0,0,0,0,0,0,0,0
SB201020,20-Aug-10,2010,8,734370,0,0,0,0,0,0,0,1,0,0,0
SB201021,02-Sep-10,2010,9,734383,0,0,0,0,0,0,0,2,0,0,0
SB201022,09-Sep-10,2010,9,734390,0,0,0,0,0,0,0,2,0,0,0
SB201023,23-Sep-10,2010,9,734404,0,0,0,0,0,0,0,2,0,0,0
SB201024,07-Oct-10,2010,10,734418,0,0,0,0,0,0,0,2,0,0,0
SB201025,21-Oct-10,2010,10,734432,0,0,0,0,0,0,0,2,0,0,0
SB201026,03-Nov-10,2010,11,734445,0,0,0,0,0,0,0,2,0,0,0
SB201027,05-Nov-10,2010,11,734447,0,0,0,0,0,0,0,2,0,0,0
SB201028,19-Nov-10,2010,11,734461,0,0,0,0,0,0,0,2,0,0,0
SB201029,02-Dec-10,2010,12,734474,0,0,0,0,0,0,0,2,0,0,0
SB201030,08-Dec-10,2010,12,734480,0,0,0,0,0,0,0,0,0,0,0
SB201031,22-Dec-10,2010,12,734494,0,0,0,0,0,0,0,0,0,0,0
SB201101,05-Jan-11,2011,1,734508,0,0,0,0,0,0,0,0,0,0,0
SB201102,19-Jan-11,2011,1,734522,0,0,0,0,0,0,0,0,0,0,0
SB201103,03-Feb-11,2011,2,734537,0,0,0,0,0,0,0,0,0,0,0
SB201104,16-Feb-11,2011,2,734550,0,0,0,0,0,0,0,0,0,0,0
SB201105,03-Mar-11,2011,3,734565,0,0,0,0,0,0,0,0,0,0,0
SB201106,14-Mar-11,2011,3,734576,0,0,0,0,0,0,0,0,0,0,0
SB201107,21-Mar-11,2011,3,734583,0,0,0,0,0,0,0,0,0,0,0
SB201108,04-Apr-11,2011,4,734597,0,0,0,0,0,0,0,0,0,0,0
SB201109,20-Apr-11,2011,4,734613,0,0,0,0,0,0,0,0,0,0,0
SB201110,03-May-11,2011,5,734626,0,0,0,0,0,0,0,0,0,0,0
SB201111,17-May-11,2011,5,734640,0,0,0,0,0,0,0,0,0,0,0
SB201112,31-May-11,2011,5,734654,0,0,0,0,0,0,0,0,0,0,0
SB201113,13-Jun-11,2011,6,734667,0,0,0,0,0,0,0,0,0,0,0
SB201114,29-Jun-11,2011,6,734683,0,0,0,0,0,0,0,0,0,0,0
SB201115,11-Jul-11,2011,7,734695,0,0,0,0,0,0,0,0,0,0,0
SB201116,26-Jul-11,2011,7,734710,0,0,0,0,0,0,0,0,0,0,0
SB201117,09-Aug-11,2011,8,734724,0,0,0,0,0,0,0,0,0,0,0
SB201118,23-Aug-11,2011,8,734738,0,0,0,0,0,0,0,0,0,0,0
SB201119,06-Sep-11,2011,9,734752,0,0,0,0,0,0,0,0,0,0,0
SB201120,19-Sep-11,2011,9,734765,0,0,0,0,0,0,0,0,0,0,0
SB201121,03-Oct-11,2011,10,734779,0,0,0,0,0,0,0,0,0,0,0
SB201122,17-Oct-11,2011,10,734793,0,0,0,0,0,0,0,0,0,0,0
SB201123,02-Nov-11,2011,11,734809,0,0,0,0,0,0,0,0,0,0,0
SB201124,16-Nov-11,2011,11,734823,0,0,0,0,0,0,0,0,0,0,0
SB201125,21-Nov-11,2011,11,734828,0,0,0,0,0,0,0,0,0,0,0
SB201126,05-Dec-11,2011,12,734842,0,0,0,0,0,0,0,0,0,0,0
SB201127,19-Dec-11,2011,12,734856,0,0,0,0,0,0,0,0,0,0,0
SB201128,23-Dec-11,2011,12,734860,0,0,0,0,0,0,0,0,0,0,0
SB201201,06-Jan-12,2012,1,734874,0,0,0,0,0,0,0,0,0,0,0
SB201202,20-Jan-12,2012,1,734888,0,0,0,0,0,0,0,0,0,0,0
SB201203,27-Jan-12,2012,1,734895,0,0,0,0,0,0,0,0,0,0,0
SB201204,09-Feb-12,2012,2,734908,0,0,0,0,0,0,0,0,0,0,0
SB201205,23-Feb-12,2012,2,734922,0,0,0,0,0,0,0,0,0,0,0
SB201206,29-Feb-12,2012,2,734928,0,0,0,0,0,0,0,0,0,0,0
SB201207,14-Mar-12,2012,3,734942,0,0,0,0,0,0,0,0,0,0,0
SB201208,30-Mar-12,2012,3,734958,0,0,0,0,0,0,0,0,0,0,0
SB201209,03-Apr-12,2012,4,734962,0,0,0,0,0,0,0,0,0,0,0
SB201210,17-Apr-12,2012,4,734976,0,0,0,0,0,0,0,0,0,0,0
SB201211,03-May-12,2012,5,734992,0,0,0,0,0,0,0,0,0,0,0
SB201212,16-May-12,2012,5,735005,0,0,0,0,0,0,0,0,0,0,0
SB201213,30-May-12,2012,5,735019,0,0,0,0,0,0,0,0,0,0,0
SB201214,04-Jun-12,2012,6,735024,0,0,0,0,0,0,0,0,0,0,0
SB201215,21-Jun-12,2012,6,735041,0,0,0,0,0,0,0,0,0,0,0
SB201216,05-Jul-12,2012,7,735055,0,0,0,0,0,0,0,0,0,0,0
SB201217,18-Jul-12,2012,7,735068,0,0,0,0,0,0,0,0,0,0,0
SB201218,26-Jul-12,2012,7,735076,0,0,0,0,0,0,0,0,0,0,0
SB201219,03-Aug-12,2012,8,735084,0,0,0,0,0,0,0,0,0,0,0
SB201220,17-Aug-12,2012,8,735098,0,0,0,0,0,0,0,0,0,0,0
SB201221,31-Aug-12,2012,8,735112,0,0,0,0,0,0,0,0,0,0,0
SB201222,14-Sep-12,2012,9,735126,0,0,0,0,0,0,0,0,0,0,0
SB201223,28-Sep-12,2012,9,735140,0,0,0,0,0,0,0,0,0,0,0
SB201224,12-Oct-12,2012,10,735154,0,0,0,0,0,0,0,0,0,0,0
SB201225,25-Oct-12,2012,10,735167,0,0,0,0,0,0,0,0,0,0,0
SB201226,08-Nov-12,2012,11,735181,0,0,0,0,0,0,0,0,0,0,0
SB201227,23-Nov-12,2012,11,735196,0,0,0,0,0,0,0,0,0,0,0
SB201228,07-Dec-12,2012,12,735210,0,0,0,0,0,0,0,0,0,0,0
SB201229,20-Dec-12,2012,12,735223,0,0,0,0,0,0,0,0,0,0,0
SB201301,09-Jan-13,2013,1,735243,0,0,0,0,0,0,0,0,0,0,0
SB201302,23-Jan-13,2013,1,735257,0,0,0,0,0,0,0,0,0,0,0
SB201303,06-Feb-13,2013,2,735271,0,0,0,0,0,0,0,0,0,0,0
SB201304,19-Feb-13,2013,2,735284,0,0,0,0,0,0,0,0,0,0,0
SB201305,06-Mar-13,2013,3,735299,0,0,0,0,0,0,0,0,0,0,0
SB201306,20-Mar-13,2013,3,735313,0,0,0,0,0,0,0,0,0,0,0
SB201307,03-Apr-13,2013,4,735327,0,0,0,0,0,0,0,0,0,0,0
SB201308,04-Apr-13,2013,4,735328,0,0,0,0,0,0,0,0,0,0,0
SB201309,17-Apr-13,2013,4,735341,0,0,0,0,0,0,0,0,0,0,0
SB201310,29-Apr-13,2013,4,735353,0,0,0,0,0,0,0,0,0,0,0
SB201311,14-May-13,2013,5,735368,0,0,0,0,0,0,0,0,0,0,0
SB201312,28-May-13,2013,5,735382,0,0,0,0,0,0,0,0,0,0,0
SB201313,10-Jun-13,2013,6,735395,0,0,0,0,0,0,0,0,0,0,0
SB201314,24-Jun-13,2013,6,735409,0,0,0,0,0,0,0,0,0,0,0
SB201315,04-Jul-13,2013,7,735419,0,1,1,0,0,0,0,0,0,0,0
SB201316,09-Jul-13,2013,7,735424,1,2,2,0,0,0,0,0,0,0,0
SB201317,23-Jul-13,2013,7,735438,2,2,2,0,0,0,0,0,0,0,0
SB201318,26-Jul-13,2013,7,735441,2,2,2,0,0,0,0,0,0,0,0
SB201319,05-Aug-13,2013,8,735451,2,2,2,0,0,0,0,0,0,0,0
SB201320,07-Aug-13,2013,8,735453,2,2,2,0,0,0,0,0,0,0,0
SB201321,22-Aug-13,2013,8,735468,2,2,2,0,0,0,0,0,0,0,0
SB201322,04-Sep-13,2013,9,735481,0,0,0,0,0,0,0,0,0,0,0
SB201323,18-Sep-13,2013,9,735495,0,0,0,0,0,0,0,0,0,0,0
SB201324,02-Oct-13,2013,10,735509,0,0,0,0,0,0,0,0,0,0,0
SB201325,18-Oct-13,2013,10,735525,0,0,0,0,0,0,0,0,0,0,0
SB201326,04-Nov-13,2013,11,735542,0,0,0,0,0,0,0,0,0,0,0
SB201327,19-Nov-13,2013,11,735557,0,0,0,0,0,0,0,0,0,0,0
SB201328,27-Nov-13,2013,11,735565,0,0,0,0,0,0,0,0,0,0,0
SB201329,11-Dec-13,2013,12,735579,0,0,0,0,0,0,0,0,0,0,0
SB201330,16-Dec-13,2013,12,735584,0,0,0,0,0,0,0,0,0,0,0
SB201401,02-Jan-14,2014,1,735601,0,0,0,0,0,0,0,0,0,0,0
SB201402,13-Jan-14,2014,1,735612,0,0,0,0,0,0,0,0,0,0,0
SB201403,27-Jan-14,2014,1,735626,0,0,0,0,0,0,0,0,0,0,0
SB201404,10-Feb-14,2014,2,735640,0,0,0,0,0,0,0,0,0,0,0
SB201405,26-Feb-14,2014,2,735656,0,0,0,0,0,0,0,0,0,0,0
SB201406,05-Mar-14,2014,3,735663,0,0,0,0,0,0,0,0,0,0,0
SB201407,19-Mar-14,2014,3,735677,0,0,0,0,0,0,0,0,0,0,0
SB201408,01-Apr-14,2014,4,735690,0,0,0,0,0,0,0,0,0,0,0
SB201409,10-Apr-14,2014,4,735699,0,0,0,0,0,0,0,0,0,0,0
SB201410,24-Apr-14,2014,4,735713,0,0,0,0,0,0,0,0,0,0,0
SB201411,08-May-14,2014,5,735727,0,0,0,0,0,0,0,0,0,0,0
SB201412,19-May-14,2014,5,735738,0,0,0,0,0,0,0,0,0,0,0
SB201413,02-Jun-14,2014,6,735752,0,0,0,0,0,0,0,0,0,0,0
SB201414,14-Jun-14,2014,6,735764,0,0,1,0,0,0,0,0,0,0,0
SB201415,27-Jun-14,2014,6,735777,0,0,2,0,0,0,0,0,0,0,0
SB201416,01-Jul-14,2014,7,735781,0,0,2,0,0,0,0,0,0,0,0
SB201417,05-Jul-14,2014,7,735785,0,0,2,1,1,0,0,0,0,0,0
SB201418,18-Jul-14,2014,7,735798,0,0,2,2,2,0,0,0,0,0,0
SB201419,24-Jul-14,2014,7,735804,0,0,2,2,2,0,0,0,0,0,0
SB201420,07-Aug-14,2014,8,735818,0,0,2,0,0,0,0,0,0,0,0
SB201421,15-Aug-14,2014,8,735826,0,0,2,0,0,0,0,0,0,0,0
SB201422,29-Aug-14,2014,8,735840,0,0,2,0,0,0,0,0,0,0,0
SB201423,11-Sep-14,2014,9,735853,0,0,0,0,0,0,0,0,0,0,0
SB201424,24-Sep-14,2014,9,735866,0,0,0,0,0,0,0,0,0,0,0
SB201425,04-Oct-14,2014,10,735876,0,0,0,0,0,0,0,0,0,0,0
SB201426,17-Oct-14,2014,10,735889,0,0,0,0,0,0,0,0,0,0,0
SB201427,30-Oct-14,2014,10,735902,0,0,0,0,0,0,0,0,0,0,0
SB201428,14-Nov-14,2014,11,735917,0,0,0,0,0,0,0,0,0,0,0
SB201429,19-Nov-14,2014,11,735922,0,0,0,0,0,0,0,0,0,0,0
SB201430,02-Dec-14,2014,12,735935,0,0,0,0,0,0,0,0,0,0,0
SB201431,04-Dec-14,2014,12,735937,0,0,0,0,0,0,0,0,0,0,0
SB201432,18-Dec-14,2014,12,735951,0,0,0,0,0,0,0,0,0,0,0
SB201501,05-Jan-15,2015,1,735969,0,0,0,0,0,0,0,0,0,0,0
SB201502,22-Jan-15,2015,1,735986,0,0,0,0,0,0,0,0,0,0,0
SB201503,30-Jan-15,2015,1,735994,0,0,0,0,0,0,0,0,0,0,0
SB201504,16-Feb-15,2015,2,736011,0,0,0,0,0,0,0,0,0,0,0
SB201505,21-Feb-15,2015,2,736016,0,0,0,0,0,0,0,0,0,0,0
SB201506,06-Mar-15,2015,3,736029,0,0,0,0,0,0,0,0,0,0,0
SB201507,19-Mar-15,2015,3,736042,0,0,0,0,0,0,0,0,0,0,0
SB201508,01-Apr-15,2015,4,736055,0,0,0,0,0,0,0,0,0,0,0
SB201509,11-Apr-15,2015,4,736065,0,0,0,0,0,0,0,0,0,0,0
SB201510,24-Apr-15,2015,4,736078,0,0,0,0,0,0,0,0,0,0,0
SB201511,08-May-15,2015,5,736092,0,0,0,0,0,0,0,0,0,0,0
SB201512,22-May-15,2015,5,736106,0,0,0,0,0,0,0,0,0,0,0
SB201513,05-Jun-15,2015,6,736120,0,0,0,0,0,0,0,0,0,0,0
SB201514,08-Jun-15,2015,6,736123,0,0,0,0,0,0,0,0,0,0,0
SB201515,22-Jun-15,2015,6,736137,0,0,0,0,0,0,0,0,0,0,0
SB201516,24-Jun-15,2015,6,736139,0,0,0,0,0,0,0,0,0,0,0
SB201517,25-Jun-15,2015,6,736140,0,1,1,0,0,0,0,0,0,0,0
SB201518,10-Jul-15,2015,7,736155,0,2,2,0,0,0,0,0,0,0,0
SB201519,24-Jul-15,2015,7,736169,0,2,2,0,0,0,0,0,0,0,0
SB201520,07-Aug-15,2015,8,736183,0,2,2,0,0,0,0,0,0,0,0
SB201521,15-Aug-15,2015,8,736191,0,0,0,0,0,0,0,0,0,0,0
SB201522,29-Aug-15,2015,8,736205,0,0,0,0,0,0,0,0,0,0,0
SB201523,11-Sep-15,2015,9,736218,0,0,0,0,0,0,0,0,0,0,0
SB201524,24-Sep-15,2015,9,736231,0,0,0,0,0,0,0,0,0,0,0
SB201525,08-Oct-15,2015,10,736245,0,0,0,0,0,0,0,0,0,0,0
LSA2015xx,13-Oct-15,2015,10,736250,0,1,0,0,0,0,0,0,0,0,0
SB201526,15-Oct-15,2015,10,736252,0,2,0,0,0,0,0,1,0,0,0
LSA2015xx,16-Oct-15,2015,10,736253,0,2,1,0,0,0,0,2,0,0,0
SB201527,23-Oct-15,2015,10,736260,0,2,0,0,0,0,0,2,0,0,0
SB201528,06-Nov-15,2015,11,736274,0,2,0,0,0,0,0,2,0,0,0
SB201529,13-Nov-15,2015,11,736281,0,2,1,0,0,0,0,2,0,0,0
Region8_data,19-Nov-15,2015,11,736287,0,2,2,0,0,1,0,2,0,0,0
SB201531,21-Nov-15,2015,11,736289,0,2,2,0,0,2,1,2,0,0,0
SB201532,24-Nov-15,2015,11,736292,0,2,2,0,0,2,2,2,0,0,0
SB201533,26-Nov-15,2015,11,736294,0,2,2,1,1,2,2,2,0,0,0
SB201534,05-Dec-15,2015,12,736303,0,2,2,2,2,2,2,2,1,0,0
SB201535,18-Dec-15,2015,12,736316,0,2,2,2,2,2,2,2,2,0,0
SB201536,23-Dec-15,2015,12,736321,0,2,2,2,2,2,2,2,2,0,0
SB201601,07-Jan-16,2016,1,736336,0,2,2,0,0,2,2,2,2,0,0
SB201602,22-Jan-16,2016,1,736351,0,2,2,0,0,2,2,2,2,0,0
SB201603,29-Jan-16,2016,1,736358,0,2,2,0,0,2,2,2,2,0,0
SB201604,12-Feb-16,2016,2,736372,0,2,2,0,0,2,2,2,2,0,0
SB201605,18-Feb-16,2016,2,736378,0,2,2,0,0,2,2,0,2,0,0
SB201606,02-Mar-16,2016,3,736391,0,2,2,0,0,2,2,0,2,0,0
SB201607,05-Mar-16,2016,3,736394,0,2,2,0,0,2,2,0,2,0,0
SB201608,08-Mar-16,2016,3,736397,0,2,0,0,0,2,2,0,2,0,0
SB201609,19-Mar-16,2016,3,736408,0,2,0,0,0,2,2,0,2,0,0
SB201610,29-Mar-16,2016,3,736418,0,2,0,0,0,2,2,0,0,0,0
SB201611,01-Apr-16,2016,4,736421,0,2,0,0,0,2,2,0,0,0,0
SB201612,04-Apr-16,2016,4,736424,0,2,0,0,0,0,0,0,0,0,0
SB201613,08-Apr-16,2016,4,736428,0,0,0,0,0,0,0,0,0,0,0
SB201614,23-Apr-16,2016,4,736443,0,0,0,0,0,0,0,0,0,0,0
SB201615,10-May-16,2016,5,736460,0,0,0,0,0,0,0,0,0,0,0
SB201616,24-May-16,2016,5,736474,0,0,0,0,0,0,0,0,0,0,0
LSA2016xx,27-May-16,2016,5,736477,0,0,1,0,0,0,0,0,0,0,0
SB201617,31-May-16,2016,5,736481,0,0,2,0,0,0,0,0,0,0,0
LSA2016xx,03-Jun-16,2016,6,736484,0,1,2,0,0,0,0,0,0,0,0
SB201618,08-Jun-16,2016,6,736489,0,2,2,0,0,0,0,0,0,0,0
SB201619,22-Jun-16,2016,6,736503,0,2,2,0,0,0,0,0,0,0,0
SB201620,05-Jul-16,2016,7,736516,0,2,2,0,0,0,0,0,0,0,0
LSA2016xx,18-Jul-16,2016,7,736529,0,2,2,0,1,0,0,1,0,0,0
SB201621,20-Jul-16,2016,7,736531,0,2,2,1,2,0,0,0,0,0,0
SB201622,22-Jul-16,2016,7,736533,0,2,2,2,2,0,0,0,0,0,0
LSA2016xx,28-Jul-16,2016,7,736539,0,2,2,2,2,1,0,0,0,0,0
SB201623,01-Aug-16,2016,8,736543,0,2,2,2,2,0,0,1,0,0,0
SB201624,15-Aug-16,2016,8,736557,0,2,2,2,2,0,0,2,0,0,0
SB201625,25-Aug-16,2016,8,736567,0,2,2,2,2,1,0,2,1,0,0
SB201626,07-Sep-16,2016,9,736580,0,2,2,0,0,2,0,2,2,0,0
SB201627,21-Sep-16,2016,9,736594,0,2,2,0,0,0,0,2,2,0,0
SB201628,26-Sep-16,2016,9,736599,0,2,2,0,0,0,0,2,2,0,0
SB201629,10-Oct-16,2016,10,736613,0,2,2,0,0,0,0,2,2,0,0
SB201630,14-Oct-16,2016,10,736617,0,2,2,0,0,0,1,2,2,0,0
SB201631,26-Oct-16,2016,10,736629,0,2,2,0,0,0,2,2,2,0,0
SB201632,27-Oct-16,2016,10,736630,0,2,2,0,0,0,2,2,2,0,0
SB201633,10-Nov-16,2016,11,736644,0,2,2,0,0,0,2,2,2,0,0
SB201634,11-Nov-16,2016,11,736645,0,2,2,0,0,0,2,2,2,1,0
SB201635,19-Nov-16,2016,11,736653,0,2,2,0,0,0,2,2,2,2,0
SB201636,22-Nov-16,2016,11,736656,0,2,2,0,0,0,2,2,2,2,0
SB201637,06-Dec-16,2016,12,736670,0,2,2,0,0,0,2,2,2,2,0
SB201638,20-Dec-16,2016,12,736684,0,2,2,0,0,0,2,2,2,2,0
SB201639,28-Dec-16,2016,12,736692,0,2,2,0,0,0,2,2,2,2,0
SB201640,31-Dec-16,2016,12,736695,0,2,2,0,0,1,2,2,2,2,0
SB201701,12-Jan-17,2017,1,736707,0,2,2,0,0,2,2,2,2,0,0
SB201702,14-Jan-17,2017,1,736709,0,2,2,1,1,2,2,2,2,0,0
SB201703,17-Jan-17,2017,1,736712,0,2,2,2,2,2,2,2,2,0,0
SB201704,30-Jan-17,2017,1,736725,0,2,2,2,2,2,2,2,2,0,0
SB201705,02-Feb-17,2017,2,736728,0,2,2,0,0,2,2,2,2,0,0
SB201706,17-Feb-17,2017,2,736743,0,2,2,0,0,2,2,0,2,0,0
SB201707,01-Mar-17,2017,3,736755,0,2,2,0,0,2,2,0,2,0,0
SB201708,06-Mar-17,2017,3,736760,0,0,2,0,0,2,2,0,2,0,0
SB201709,08-Mar-17,2017,3,736762,0,0,2,0,0,2,0,0,2,0,0
SB201710,16-Mar-17,2017,3,736770,0,0,2,0,0,2,0,0,0,0,0
SB201711,30-Mar-17,2017,3,736784,0,0,0,0,0,2,0,0,0,0,0
SB201712,04-Apr-17,2017,4,736789,0,0,0,0,0,2,0,0,0,0,0
SB201713,07-Apr-17,2017,4,736792,0,0,0,0,0,0,0,0,0,0,0
SB201714,12-Apr-17,2017,4,736797,0,0,0,0,0,0,0,0,0,0,0
SB201715,26-Apr-17,2017,4,736811,0,0,0,0,0,0,0,0,0,0,0
SB201716,10-May-17,2017,5,736825,0,0,0,0,0,0,0,0,0,0,0
SB201717,26-May-17,2017,5,736841,0,0,0,0,0,0,0,0,0,0,0
LSA2017xx,30-May-17,2017,5,736845,0,1,1,0,0,0,0,0,0,0,0
LSA2017xx,02-Jun-17,2017,6,736848,0,2,2,0,0,0,0,0,0,0,0
SB201718,09-Jun-17,2017,6,736855,0,0,2,0,0,0,0,0,0,0,0
SB201719,22-Jun-17,2017,6,736868,0,0,2,0,0,0,0,0,0,0,0
SB201720,26-Jun-17,2017,6,736872,0,0,2,0,0,0,0,0,0,0,0
SB201721,03-Jul-17,2017,7,736879,0,0,2,0,0,0,0,0,0,0,0
SB201722,07-Jul-17,2017,7,736883,0,0,2,0,0,0,0,0,0,0,0
